Breed,Age,Nutrition_Protein,Nutrition_Carbohydrates,Nutrition_Minerals,Health_Status,Lactation_Stage,Reproductive_Status,Milking_Frequency,Environmental_Temperature,Environmental_Humidity,Environmental_Housing,Previous_Milk_Production,Milk_Production
Holstein,7,19.009178693615816,34.72379382919451,10.114924732981153,Healthy,Mid-Lactation,Post-Calving,Two times a day,24.73949021280652,43.24238255510413,Pasture,9.112327479336813,8.778174804124777
Ayrshire,3,21.917202918039514,30.057257011865207,14.087772612291321,Healthy,Late Lactation,Pregnant,Two times a day,38.29052517321834,68.6581192623516,Barn,12.238081695346484,19.063343535423346
Holstein,5,24.718131747705954,40.2250422360243,19.24026870425733,Healthy,Early Lactation,Pregnant,Two times a day,17.69726237499662,49.984988176423336,Barn,7.470393284634824,12.164265447591504
Holstein,7,19.39012628136309,32.50698017206832,11.118806165491238,Unhealthy,Early Lactation,Pregnant,Two times a day,21.444118014068046,75.10851842787758,Barn,14.038944002396134,4.399989444732504
Guernsey,7,22.520344343841586,39.82923614537487,15.16424388218611,Healthy,Late Lactation,Post-Calving,Three times a day,26.817642220904055,72.52599953455257,Barn,16.714431932957424,9.584325148670326
Guernsey,3,18.1088688558327,44.87613925751758,17.865223823908472,Unhealthy,Late Lactation,Calving,Three times a day,35.081512467450864,78.31320869901106,Barn,13.764665546712989,13.50808874270588
Guernsey,3,27.824153045998102,31.090063074150244,19.425313075201167,Unhealthy,Early Lactation,Pregnant,Three times a day,18.92821592951347,75.35048061832128,Pasture,10.25165253694273,6.47258249160958
Jersey,3,19.541384617118297,31.15617017927191,17.46776639533718,Unhealthy,Late Lactation,Post-Calving,Two times a day,21.646910834990635,77.3331767646539,Barn,9.173159189847407,1.5928321257804634
Ayrshire,5,21.40011537918698,35.10570139000012,17.205655486444062,Healthy,Early Lactation,Pregnant,Three times a day,16.579157227085737,74.34969586053231,Pasture,12.846393019514885,11.6687126942177
Ayrshire,3,18.22113262485861,42.99579771377013,18.264880901957625,Unhealthy,Late Lactation,Post-Calving,Two times a day,31.943646385219644,67.73527602459421,Barn,13.596217832026605,18.9574033723936
Ayrshire,7,23.186889406710147,33.23294803186998,14.462012209775438,Unhealthy,Late Lactation,Pregnant,Three times a day,20.71702645141479,46.810366085017435,Barn,11.17458887049078,9.701439711263475
Ayrshire,7,28.081458032894623,35.405667298955215,18.05844532617833,Healthy,Mid-Lactation,Post-Calving,Three times a day,24.328194016102813,50.86830075416372,Pasture,12.4988455021479,18.122181612940757
Guernsey,3,22.70581453734236,31.027581099404692,10.079644047454511,Healthy,Late Lactation,Pregnant,Three times a day,25.64883472871203,48.50907864521092,Pasture,1.9317736498906446,16.70047176743388
Jersey,3,20.153967881086,41.44732936888334,19.24561055376805,Unhealthy,Mid-Lactation,Calving,Three times a day,36.391534454554936,64.14343150632823,Pasture,19.035310322846534,2.948255672679667
Jersey,7,27.04438600860623,36.124595141391765,14.433065095171752,Healthy,Late Lactation,Pregnant,Three times a day,24.871926967949683,60.14479751894406,Pasture,15.81546127464068,14.163398436711416
Guernsey,5,27.46568378244893,41.38873099591264,15.533801878657476,Healthy,Early Lactation,Post-Calving,Two times a day,18.485400477965978,74.68319988633695,Pasture,7.478557394135676,8.70931050143957
Jersey,3,20.085041703690802,43.55411766520193,12.548822489148822,Healthy,Early Lactation,Pregnant,Three times a day,27.583558520162903,78.10691465996302,Barn,11.2562522190726,5.004926505258737
Guernsey,3,27.250249302491877,33.49144720651933,17.425308328404213,Healthy,Late Lactation,Calving,Two times a day,38.11099187156711,56.194395584725775,Pasture,0.946490602728427,13.73876711333406
Ayrshire,7,29.367574659076055,42.11094045509927,10.766358064752488,Unhealthy,Late Lactation,Pregnant,Two times a day,29.584455385219464,60.254022131232496,Pasture,0.8245562799812078,14.853214373128427
Guernsey,3,19.996531043187268,30.8864083511738,18.72635802546835,Healthy,Early Lactation,Post-Calving,Two times a day,38.60129329105374,78.86065427216556,Barn,5.015966702239254,3.597926374696776
Ayrshire,5,27.251811510385625,43.48271082270371,18.281168290063427,Healthy,Late Lactation,Post-Calving,Two times a day,35.18657541453288,51.04955766492574,Barn,13.794032847292465,18.28889364112417
Ayrshire,7,26.50286405523155,39.76152821338121,12.160601162447664,Healthy,Mid-Lactation,Calving,Two times a day,15.863178149121907,71.69563101435254,Pasture,17.042954956000234,15.022944879028818
Holstein,3,23.682886661221062,43.113400862075274,18.093243982852623,Unhealthy,Mid-Lactation,Post-Calving,Two times a day,30.801590289049003,49.009596093409854,Pasture,11.183717599596967,18.667509982839373
Guernsey,7,18.69504552670558,30.00282599334873,17.863577330614817,Unhealthy,Mid-Lactation,Pregnant,Two times a day,21.882405061389207,67.25840461701088,Pasture,10.642654791647049,6.341464375273819
Holstein,3,18.89633301309425,32.536216055339885,16.32216597753949,Healthy,Mid-Lactation,Pregnant,Two times a day,28.43080453547337,50.144625105542566,Barn,8.046190675829319,18.786700314859736
Guernsey,3,28.228975910383774,35.846390811397384,13.735201768996875,Healthy,Mid-Lactation,Pregnant,Three times a day,21.704284582349437,75.34933555325547,Pasture,3.2319591191604236,7.370353156767617
Guernsey,3,29.881780473007765,35.692543550620776,12.71498754181868,Unhealthy,Late Lactation,Post-Calving,Three times a day,23.37288999852697,62.45911774946707,Barn,2.3670820265317505,1.0793952285478348
Holstein,5,26.112627086241055,33.40095574385266,12.3178359028935,Healthy,Late Lactation,Pregnant,Two times a day,37.1560490821003,47.43734563497539,Barn,15.21359522441932,15.259387774180466
Holstein,5,23.35149968412386,35.724179098008,13.186089627636072,Healthy,Mid-Lactation,Pregnant,Two times a day,19.959436437400928,48.97476702793944,Barn,18.550071025931512,14.070162881766816
Guernsey,7,25.77088372082289,31.93273068000382,19.0355844343253,Unhealthy,Late Lactation,Pregnant,Two times a day,35.97861883261993,59.75396782832401,Barn,9.165664327725462,11.95821984526665
Jersey,3,25.132750310742544,36.19141693899039,10.776407759887812,Healthy,Late Lactation,Calving,Three times a day,15.730987393691922,78.46408102299515,Pasture,13.188913174312765,9.79787488768348
Ayrshire,3,22.60334712486746,42.03531493738896,18.288712762529585,Healthy,Mid-Lactation,Post-Calving,Three times a day,17.181036920871563,70.78568655534617,Barn,18.289153017618823,0.6433054064526278
Holstein,5,18.787513734888154,37.18605094655027,13.488900750418235,Unhealthy,Late Lactation,Post-Calving,Two times a day,35.51220099322232,59.532385713033804,Barn,1.8022726586828908,12.491945030403087
Ayrshire,3,27.858155368889292,30.270001334178225,15.215993960113583,Unhealthy,Late Lactation,Post-Calving,Two times a day,30.133344741820686,53.50876578248868,Pasture,15.409629062380596,8.336692304455873
Jersey,5,22.462002350864694,36.321660623688715,17.944856336484907,Healthy,Late Lactation,Calving,Three times a day,32.933667312949204,61.970739733937705,Barn,12.336337687511502,11.2041880548189
Jersey,3,27.825427720285123,30.407625241362663,18.843765470229712,Unhealthy,Mid-Lactation,Post-Calving,Three times a day,20.026024099724502,69.93443333714478,Pasture,11.972743576597226,8.586426839352725
Jersey,7,21.030104996260587,44.49365116060197,13.44781420072647,Healthy,Late Lactation,Calving,Two times a day,27.890002934162485,71.357143538112,Barn,5.850808569631396,19.32112265530398
Holstein,3,18.0123537581476,31.911809391343034,14.618434812751104,Healthy,Early Lactation,Calving,Two times a day,32.693261365711315,52.98435192387778,Pasture,13.677867095553538,12.082178023016944
Jersey,3,19.907259399321077,40.61532489495928,14.145160648167924,Healthy,Early Lactation,Post-Calving,Two times a day,30.0555392882463,68.84637072855509,Barn,15.89595509641553,14.984726612049343
Holstein,5,23.622473001223014,44.59164484338129,10.132510335039106,Unhealthy,Mid-Lactation,Pregnant,Two times a day,26.320770405389027,66.31155120144744,Barn,2.257163298873943,18.726938949421665
Jersey,3,29.33164361949396,42.39058577499858,12.959428888586565,Unhealthy,Early Lactation,Pregnant,Three times a day,38.034810874505155,78.36449167985175,Pasture,10.670428619619676,11.831986458334793
Ayrshire,3,19.226323436324627,40.489730626893056,14.591892337325618,Healthy,Mid-Lactation,Post-Calving,Three times a day,31.22777600288269,77.24361162032059,Barn,2.0253036197481933,0.24125035644801507
Ayrshire,5,28.250517293538792,42.5919136425115,14.110936088804397,Healthy,Early Lactation,Post-Calving,Two times a day,36.786019205789714,71.57517302414308,Barn,17.45148038595289,0.6858335662108472
Guernsey,7,24.324289154542345,44.72698039890942,17.219292275156796,Unhealthy,Early Lactation,Calving,Two times a day,32.51449227776835,68.93578755419713,Pasture,10.152734453126946,14.046768682037236
Ayrshire,7,27.91104918959876,39.32016745880294,13.848036172211032,Unhealthy,Early Lactation,Post-Calving,Two times a day,32.651124686344396,50.961663588171035,Barn,16.159313785215147,5.5817027230256695
Guernsey,5,21.580493171879912,38.3877721024399,14.893764489706703,Unhealthy,Mid-Lactation,Calving,Three times a day,16.920438474184305,73.83861024394133,Barn,7.361712753324285,11.587594546958975
Ayrshire,5,28.079365976069663,39.42357165694922,14.296085921323634,Healthy,Mid-Lactation,Post-Calving,Two times a day,23.627150924494646,57.10022814853465,Pasture,2.501564536326508,4.045543621813379
Holstein,5,27.273873360201655,37.99013830142332,17.406261488943706,Unhealthy,Late Lactation,Pregnant,Two times a day,35.600865761271805,50.88962170024179,Pasture,0.8299860877142295,5.404977501234283
Ayrshire,5,20.760644196377207,39.52633658864578,18.629723989869625,Unhealthy,Mid-Lactation,Pregnant,Two times a day,20.582492691570142,55.3664303181385,Pasture,5.63019241544751,10.092821118961506
Guernsey,5,19.576021516912537,36.747633119588386,15.318890790075141,Healthy,Early Lactation,Post-Calving,Three times a day,17.772140787755188,73.43741960066032,Pasture,4.884674007281571,19.511389267121643
Guernsey,7,28.416651870387515,33.276647743249605,17.89432194195191,Healthy,Early Lactation,Calving,Two times a day,22.826545359331043,45.9453286231154,Pasture,11.207039480399237,12.325409784183831
Jersey,7,29.558839841281582,31.803708397675134,12.967866820198505,Healthy,Mid-Lactation,Pregnant,Three times a day,20.290509237422736,58.2463496447929,Barn,0.4347767612741471,18.722962090260463
Holstein,5,18.375627764970194,31.025114032983907,15.413696101572686,Unhealthy,Mid-Lactation,Calving,Two times a day,37.20691667503573,59.694303781179585,Pasture,10.411410885983468,19.18759708773895
Ayrshire,3,26.775240803684227,33.949736756298,13.452299536699725,Healthy,Mid-Lactation,Post-Calving,Two times a day,35.83119940805115,41.465187903952774,Barn,7.8354348402400635,4.162199928410148
Jersey,5,28.914294131373822,30.691853465036008,14.142009255718303,Healthy,Late Lactation,Post-Calving,Two times a day,26.992397526789702,47.82984118192661,Pasture,11.542445398288843,6.223872049378889
Ayrshire,3,28.288321105109983,38.50756169879078,17.324138648126684,Healthy,Early Lactation,Pregnant,Three times a day,16.472252987612833,73.06969714303426,Barn,14.048350563007293,15.399845624374082
Ayrshire,5,29.5742456672425,34.257426705352806,18.816624823327125,Healthy,Late Lactation,Post-Calving,Two times a day,32.14949630623575,73.23069554379043,Barn,12.68183890159678,17.335280045826877
Jersey,5,27.121128941257165,42.368022121305486,11.214953910877654,Unhealthy,Late Lactation,Pregnant,Two times a day,29.961881552070352,51.696603355369916,Pasture,19.692887387467326,10.384534883790554
Jersey,7,23.307585148570922,31.113613094825798,16.346392564873806,Healthy,Early Lactation,Calving,Three times a day,38.293312097483906,74.99588938391705,Barn,2.765306877537421,19.864521345610985
Jersey,3,21.743423885941567,33.39527241512229,15.821438075777985,Unhealthy,Early Lactation,Pregnant,Three times a day,28.41487776648905,70.8713175627339,Barn,8.59474017859557,0.23144397510540538
Jersey,3,21.84891288525753,40.95369220635219,11.184150391759319,Unhealthy,Mid-Lactation,Pregnant,Three times a day,23.073449361669827,56.716299351816374,Pasture,8.496614732866224,5.991853111704312
Jersey,7,26.693072071369404,38.98212444575237,12.11894330440109,Unhealthy,Mid-Lactation,Calving,Two times a day,27.456520645885337,69.93625377620151,Pasture,8.341064074058412,12.463235074891596
Ayrshire,7,26.95004414437157,30.96736906873751,13.110024947326803,Healthy,Late Lactation,Pregnant,Three times a day,38.50231899370839,78.45338524779226,Pasture,13.275967840853367,9.385798218749656
Jersey,7,20.40430972258455,43.15859185743301,11.669310708175015,Unhealthy,Mid-Lactation,Pregnant,Two times a day,31.712698380792734,58.35878872261395,Pasture,9.796561210934449,2.332059328576015
Holstein,7,28.41747376188637,43.15892644239269,12.437294825243418,Healthy,Mid-Lactation,Post-Calving,Three times a day,31.127427310249228,49.53708715813934,Barn,10.348651196259262,7.355741709611272
Guernsey,3,26.57908848242697,34.956120058136605,12.676007988617075,Healthy,Early Lactation,Calving,Three times a day,20.77635815342125,77.67266000200624,Barn,8.647119842935293,0.5089428659007811
Jersey,3,24.753003436120594,35.10608765024347,13.356738330390597,Healthy,Early Lactation,Pregnant,Three times a day,32.84646042145482,64.14977154253026,Barn,19.83398922037125,12.854920921505588
Jersey,5,23.658389521230152,44.83542537525261,17.49390452801159,Unhealthy,Mid-Lactation,Calving,Two times a day,33.00652390732252,44.21060649921701,Barn,18.551226976380843,17.854850859927105
Ayrshire,5,24.5187936694795,39.39264257389707,15.719122038506008,Healthy,Early Lactation,Calving,Two times a day,22.61493561062173,62.907312634267576,Barn,6.154483787287419,17.697482475669176
Jersey,7,19.910948859351173,37.969747808520886,19.862466719514014,Healthy,Mid-Lactation,Pregnant,Two times a day,26.609131977377118,60.02323557793195,Barn,2.2318784953333437,13.99088947531093
Jersey,7,20.44441499131529,42.57228275327887,14.14735826967471,Healthy,Early Lactation,Post-Calving,Two times a day,22.070479990570945,74.22355576302253,Pasture,16.795294480772057,9.315403909958551
Jersey,7,19.093973884874302,34.279355075359746,17.53865073836925,Unhealthy,Early Lactation,Calving,Two times a day,21.20892168778288,61.227807590540856,Barn,19.94340502851449,10.240632373829794
Ayrshire,5,19.84389645793335,36.437738900945355,18.714684213765338,Unhealthy,Early Lactation,Pregnant,Two times a day,15.621505685987643,50.209297373771335,Barn,5.85217788079291,2.738376479913258
Jersey,5,23.444323615263393,34.01665013232501,16.78978493038042,Unhealthy,Early Lactation,Calving,Two times a day,21.84508187167997,67.02576255459554,Barn,7.155698516835325,6.82034186238406
Guernsey,5,24.364252724739075,41.837412698830974,14.11864740417496,Healthy,Mid-Lactation,Post-Calving,Two times a day,28.295278797078595,61.703018101423204,Pasture,18.832663629704058,3.7545615099654728
Ayrshire,5,18.21434270973983,38.60024018452827,17.53594630745753,Unhealthy,Late Lactation,Post-Calving,Two times a day,15.038428501176693,49.3217851306749,Pasture,14.222590360061798,16.424004066999093
Guernsey,5,27.56157393436833,39.88237605210106,12.036671377726849,Healthy,Early Lactation,Post-Calving,Three times a day,21.797258011432017,62.94511431771632,Pasture,5.912766635592723,18.295078026759196
Ayrshire,5,21.530015680121735,33.7846087475911,13.275521651801323,Healthy,Mid-Lactation,Pregnant,Three times a day,36.153847975758,72.86142311558744,Pasture,11.620929825678301,10.73846522840234
Jersey,5,28.94203241951893,33.303379520659725,15.466852550992888,Unhealthy,Mid-Lactation,Pregnant,Two times a day,29.24756604257666,41.14283670896042,Barn,18.884591587285122,14.555280810258882
Guernsey,7,29.61013516336533,37.325619434744084,15.754093872861484,Healthy,Early Lactation,Post-Calving,Two times a day,29.588707777943533,65.23404154580447,Barn,16.23626213891557,2.4292954181425497
Ayrshire,7,20.225506496119852,41.0634862363924,10.221414754726295,Unhealthy,Late Lactation,Pregnant,Two times a day,24.680743320632477,53.983407831375686,Barn,14.836654274573194,12.170692865544767
Holstein,7,23.54516748918793,37.878596362802405,19.451141887560087,Healthy,Early Lactation,Post-Calving,Two times a day,31.235331443817863,51.70685783037697,Pasture,14.739926234540448,14.05582042755692
Jersey,7,18.01478202199711,30.48968516318503,16.9662727121739,Unhealthy,Mid-Lactation,Pregnant,Three times a day,19.55838638952862,55.70351001444445,Barn,3.5604064858454065,9.055362590228015
Ayrshire,5,25.179927181469125,43.028272594804335,14.957037502318911,Healthy,Late Lactation,Post-Calving,Three times a day,34.649923449220594,53.680906569919266,Barn,16.49362478455873,4.865461689413973
Holstein,3,25.287677379152054,30.970303402726973,19.331272344083082,Healthy,Mid-Lactation,Calving,Two times a day,17.800538878461595,73.28956426833767,Barn,5.522372648869163,17.547490410827827
Ayrshire,5,20.9704794672405,44.33736725581129,14.390955652508286,Healthy,Early Lactation,Post-Calving,Three times a day,30.74403251167462,50.99191243071602,Pasture,18.607333158030592,14.858174399074448
Holstein,3,24.700952070998376,30.37712937415909,19.804355702703717,Healthy,Late Lactation,Post-Calving,Three times a day,23.187583819672394,69.32612092426342,Pasture,7.292799820275659,17.997145636983902
Jersey,7,20.706481709324827,40.416756841960634,15.12284757243485,Healthy,Mid-Lactation,Pregnant,Two times a day,32.94031129397944,43.76239280914355,Pasture,17.153207940845128,16.368052949956468
Guernsey,5,19.92990562893828,31.233105955676724,11.142857699979794,Unhealthy,Mid-Lactation,Pregnant,Two times a day,28.19434923038448,78.05585489937661,Barn,5.324669890356029,19.80748859157725
Holstein,7,25.818233601627178,43.66014869152709,17.64800972459277,Healthy,Mid-Lactation,Pregnant,Two times a day,25.85647292348919,64.89266548994208,Barn,10.290538731644808,3.843454664288979
Ayrshire,5,21.911105567424897,36.96649854338314,16.788977250778405,Unhealthy,Early Lactation,Pregnant,Two times a day,19.066137650237927,68.2687430817824,Barn,2.1377059097812112,1.7349553560794817
Jersey,7,25.08316726662747,32.06285662225523,17.72986721305587,Unhealthy,Late Lactation,Pregnant,Three times a day,30.28371514282447,51.92157328377804,Barn,13.20237805992348,6.74005582674517
Holstein,3,23.198960987659866,35.1122354968477,19.51442028725681,Unhealthy,Early Lactation,Pregnant,Two times a day,38.394476242089915,56.48386274832458,Pasture,16.721585503336765,2.580083500465178
Ayrshire,3,29.812216888834847,32.47237013020143,17.76489302651018,Healthy,Early Lactation,Calving,Three times a day,34.814482197768356,48.95113545083905,Barn,14.368945626048323,10.462602258124488
Ayrshire,3,19.794967712010788,32.55872867335635,16.113366022166467,Healthy,Early Lactation,Post-Calving,Two times a day,16.440196622136284,77.30144343208896,Pasture,10.465170258773146,12.66057810815485
Ayrshire,5,23.575183159629724,44.22162480257163,18.57308902360841,Healthy,Late Lactation,Post-Calving,Three times a day,24.029505080668585,59.524177884055106,Barn,0.9023175720291898,11.565772303468073
Holstein,3,26.165479516311905,36.678691684271826,16.732464393545314,Unhealthy,Early Lactation,Post-Calving,Two times a day,37.213992220566524,65.2179246263196,Pasture,18.668820143417168,5.184802707805403
Holstein,5,22.746541006559625,41.832033958580396,14.081190568259231,Healthy,Early Lactation,Calving,Two times a day,27.073049941368513,69.37088122122861,Barn,14.109790971572693,18.176480619375937
Holstein,3,29.69639822244828,39.59408341766523,18.856197642417733,Healthy,Early Lactation,Post-Calving,Three times a day,30.8906838193963,54.84424364398156,Barn,14.91728476730666,0.42344727470756904
Guernsey,3,26.66265153512322,40.14639543507589,12.219004607843729,Unhealthy,Early Lactation,Calving,Three times a day,36.90238429419337,68.80406618156564,Pasture,15.893611510216143,6.96026707526986
Holstein,5,25.88380629077392,31.97540157708058,17.14641274908724,Unhealthy,Mid-Lactation,Calving,Three times a day,35.97107257007714,67.0396995902536,Pasture,14.954868518552214,14.37984950796122
Holstein,5,27.084711211334678,33.512766702232284,18.81563454940757,Unhealthy,Early Lactation,Calving,Two times a day,27.043689012972262,68.22637335495786,Barn,8.822323281966673,15.338578526983188
Holstein,3,29.431783656464603,41.80125502731656,17.313165197032962,Unhealthy,Mid-Lactation,Post-Calving,Three times a day,25.50351126378245,59.56919600818452,Barn,14.672436585758938,8.322370888637199
Guernsey,5,28.89382383581568,44.56149309712174,16.97275419053857,Unhealthy,Early Lactation,Calving,Three times a day,23.15262284351009,55.317495291664684,Barn,12.50053575620658,0.3381962651273418
Holstein,3,26.691423697516942,33.94013463897978,17.52638294071836,Unhealthy,Late Lactation,Post-Calving,Three times a day,32.25646663590939,48.883287528359595,Pasture,17.08032667337573,12.360873582474747
Ayrshire,5,26.989939669215396,34.073531471265596,14.650552483006443,Healthy,Mid-Lactation,Post-Calving,Three times a day,21.887683187317037,72.98505411203573,Barn,16.049196306747408,1.2618936236643141
Holstein,7,19.751064888421745,37.093456992163574,18.74170682157026,Unhealthy,Mid-Lactation,Pregnant,Three times a day,20.9973025543416,64.33400186126715,Pasture,0.8274876493451977,2.15711552307029
Ayrshire,7,19.23350885391199,44.75760469283156,12.034364751360911,Healthy,Mid-Lactation,Pregnant,Three times a day,23.549997470490723,57.7740878438998,Barn,7.577741806652105,13.0050143929238
Ayrshire,7,24.850854022129973,34.034384187397066,11.273864160003393,Healthy,Mid-Lactation,Calving,Three times a day,19.25316136509101,77.75983626842446,Barn,0.6943230436778913,6.249766522857096
Ayrshire,7,18.22041164328648,36.10457864451396,12.855087801185116,Healthy,Late Lactation,Calving,Three times a day,31.682875582698415,41.913552500281554,Barn,2.0414984953219584,6.960603054165057
Guernsey,7,23.788276578619097,43.372200234352604,15.315773967749932,Unhealthy,Early Lactation,Post-Calving,Three times a day,29.789775583934695,74.0068778082019,Barn,12.028214440072226,9.73614153966487
